,brand,model,year,Energy,gear_box,Trim,price
18530,FIAT,Tipo,2022,Essence,Robotisée,Cross 1.5 FireFly Turbo 130ch S/S Plus Hybrid DCT7 MY22,26980
18531,FIAT,Ducato,2020,Diesel,Manuelle,Fg 3.5 MH2 2.3 Multijet 140ch Pack E6d,28980
18532,VOLKSWAGEN,Id.3,2021,Electrique,Automatique,58 kWh - 145ch Pro,38990
18533,VOLKSWAGEN,T-Cross,2022,Essence,Robotisée,1.0 TSI 110ch Carat DSG7,27990
18534,VOLKSWAGEN,Arteon,2022,Diesel,Robotisée,ShootingBrake 2.0 TDI EVO 200ch R-Line DSG7,57900
18535,RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,15790
18536,VOLKSWAGEN,Transporter,2022,Diesel,Robotisée,Fg 2.8T L1H1 2.0 TDI 150ch Business DSG7,43990
18537,VOLKSWAGEN,Id.5,2022,Electrique,Automatique,299 ch GTX,59999
18538,VOLKSWAGEN,Id.5,2022,Electrique,Automatique,204 ch Pro Performance,55999
18539,OPEL,Grandland X,2019,Essence,Automatique,1.6 Turbo 180ch Elite BVA8,25490
18540,OPEL,Grandland X,2019,Essence,Automatique,1.6 Turbo 180ch Elite BVA8,25990
18541,OPEL,Grandland X,2019,Essence,Automatique,1.6 Turbo 180ch Elite BVA8,25490
18542,RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 20,19989
18543,RENAULT,Megane,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Business,18889
18544,RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Zen - 20,18790
18545,ALFA ROMEO,Giulia,2020,Diesel,Automatique,2.2 JTD 160ch Ti AT8 MY20,37490
18546,RENAULT,Kadjar,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Intens,20290
18547,RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business 5p Euro6c,13900
18548,RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business 5p Euro6c,13900
18549,RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business 5p Euro6c,13490
18550,DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige + 4x2,19990
18551,HYUNDAI,I20,2021,Essence,Manuelle,1.0 T-GDi 100ch Hybrid Creative,17900
18552,NISSAN,Qashqai,2018,Essence,Manuelle,1.6 DIG-T 163ch Business Edition,18890
18553,PEUGEOT,3008,2021,Diesel,Manuelle,1.5 BlueHDi 130ch S&S Roadtrip,32990
18554,MERCEDES,Classe C,2021,Diesel,Automatique,Break 220 d 163ch AMG Line 9G-Tronic,45590
18555,OPEL,Mokka,2022,Essence,Automatique,1.2 Turbo 130ch Ultimate BVA8,27980
18556,FORD,Transit,2021,Diesel,Manuelle,COURIER FGN 1.5 TDCI 100 BV6 TREND,22990
18557,FORD,Focus,2021,Diesel,Manuelle,Active SW 1.5 EcoBlue 120ch Active X,24960
18558,MERCEDES,Classe C,2021,Diesel,Automatique,Break 220 d 194ch AMG Line 9G-Tronic,44980
18559,PEUGEOT,308,2019,Essence,Manuelle,PureTech 110ch S&S BVM6 Active Business,18990
18560,PEUGEOT,308,2021,Electrique,Automatique,PHEV 225 e-EAT8 GT Pack,43690
18561,KIA,Niro,2022,Electrique,Automatique,1.6 GDi 141 ch HEV DCT6 Active,32999
18562,PEUGEOT,3008,2021,Diesel,Automatique,BlueHDi 130ch S&S EAT8 Allure Pack,34390
18563,RENAULT,Scenic,2020,Diesel,Manuelle,Blue dCi 120 - 21 Business,21990
18564,AUDI,Q3,2020,Diesel,Automatique,35 TDI 150 ch S tronic 7 S line,41980
18565,RENAULT,Megane,2021,Diesel,Manuelle,Mégane IV Berline Blue dCi 115 Business,19490
18566,AUDI,Q5,2021,Electrique,Automatique,Sportback 55 TFSIe 367 S tronic 7 Quattro S line,84990
18567,RENAULT,Captur,2019,Essence,Manuelle,TCe 150 FAP Intens,19990
